City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
269,sanming,76,CN,1548903620,79,26.24,117.6,60.71,3.18
270,huruta,0,ET,1548903620,80,8.15,39.35,45.77,3.62
271,vanimo,68,PG,1548903299,100,-2.67,141.3,81.64,15.14
272,fairbanks,1,US,1548899880,75,64.84,-147.72,15.62,5.82
273,faya,0,SA,1548900000,62,18.39,42.45,55.4,3.96
274,champerico,5,MX,1548899100,68,16.38,-93.6,71.6,13.87
275,tasiilaq,20,GL,1548899400,55,65.61,-37.64,10.4,3.36
276,atasu,76,KZ,1548903621,87,48.68,71.64,15.31,9.22
277,kapit,92,MY,1548903622,93,2.02,112.94,74.53,2.39
278,vestmanna,0,FO,1548901200,73,62.16,-7.17,21.2,10.45
279,dharchula,92,IN,1548903623,99,29.85,80.53,30.83,0.83
280,luhyny,76,UA,1548903623,95,51.08,28.4,34.88,10.56
281,ahipara,0,NZ,1548903623,54,-35.17,173.16,80.56,5.19
282,sabang,12,PH,1548903624,86,13.72,123.58,79.43,11.23
283,rio cuarto,40,AR,1548900000,83,-33.13,-64.35,75.2,5.82
284,salinopolis,76,BR,1548903368,100,-0.61,-47.36,79.07,10.78
285,springbok,0,ZA,1548903624,88,-29.67,17.88,46.22,2.84
286,hobyo,0,SO,1548903292,88,5.35,48.53,73.49,17.16
287,ribeira grande,92,PT,1548903267,97,38.52,-28.7,62.6,18.72
288,rognan,0,NO,1548899400,57,67.1,15.4,23.0,26.4
289,nelson bay,0,AU,1548901800,28,-32.72,152.14,96.8,17.22
290,guerrero negro,12,MX,1548903301,100,27.97,-114.04,54.41,6.53
291,opuwo,80,NA,1548903626,79,-18.06,13.84,66.83,4.74
292,vung tau,0,VN,1548903626,86,10.35,107.08,81.01,18.84
293,tautira,75,PF,1548901800,88,-17.73,-149.15,77.0,24.16
294,kalmunai,92,LK,1548903627,91,7.42,81.82,76.28,5.64
295,mahebourg,75,MU,1548900000,78,-20.41,57.7,80.6,6.93
296,azare,0,NG,1548903627,30,11.67,10.19,58.51,8.77
297,sinnamary,92,GF,1548903398,100,5.38,-52.96,78.13,12.68
298,dimona,0,IL,1548903628,83,31.07,35.04,37.63,2.73
299,gannan,0,CN,1548903628,28,47.92,123.49,14.09,4.97
300,dolores,0,AR,1548903629,79,-36.31,-57.68,65.3,13.69
301,nouakchott,0,MR,1548901800,82,18.08,-15.98,59.0,8.05
302,buraydah,20,SA,1548900000,100,26.33,43.97,53.6,2.95
303,begowal,88,IN,1548903630,89,30.81,76.06,50.54,2.62
304,ytre arna,75,NO,1548899400,55,60.47,5.43,35.6,35.57
305,glasgow,75,GB,1548901200,92,55.86,-4.24,26.6,2.24
306,gat,8,SN,1548901800,77,14.69,-16.54,64.4,19.46
307,viljoenskroon,12,ZA,1548903631,92,-27.21,26.95,57.16,2.95
308,manado,40,ID,1548901800,74,1.49,124.85,82.4,3.36
309,port macquarie,76,AU,1548900000,27,-31.43,152.91,98.6,8.05
310,tanta,0,EG,1548903632,73,30.78,31.0,38.39,5.64
311,cortez,1,US,1548899580,62,37.35,-108.58,26.96,6.93
312,dedougou,0,BF,1548903632,57,12.47,-3.47,60.76,2.84
313,wadi maliz,24,TN,1548900000,61,36.47,8.55,48.2,8.05
314,todos santos,5,MX,1548898860,27,23.45,-110.23,73.4,6.93
315,nikolskoye,75,RU,1548901800,100,59.7,30.79,26.6,2.24
316,tessalit,0,ML,1548903320,49,20.2,1.01,42.53,3.06
317,kaitangata,0,NZ,1548903259,77,-46.28,169.85,80.38,4.63
318,anshun,68,CN,1548903635,79,26.25,105.93,45.05,7.31
319,puro,32,PH,1548903635,79,13.13,123.76,80.33,10.22
320,vostok,44,RU,1548903371,53,46.45,135.83,2.93,8.55
321,bambous virieux,75,MU,1548900000,78,-20.34,57.76,80.6,6.93
322,rozhyshche,92,UA,1548903636,96,50.92,25.27,32.14,3.29
323,briceno,64,CO,1548903637,98,7.11,-75.55,64.81,1.05
324,aranos,8,NA,1548903637,60,-24.14,19.11,70.66,8.77
325,salinas,90,US,1548901800,71,36.67,-121.66,59.0,8.05
326,brae,48,GB,1548901200,92,60.4,-1.35,35.6,2.24
327,caravelas,76,BR,1548903323,99,-17.73,-39.27,82.63,11.68
328,fushun,0,CN,1548901800,21,41.89,123.95,17.6,6.71
329,pingliang,0,CN,1548903386,81,35.54,106.68,18.23,4.18
330,bend,1,US,1548903300,86,44.06,-121.32,33.8,3.62
331,orange,0,AU,1548903542,35,-33.28,149.1,92.53,10.89
332,dukat,56,RS,1548903639,93,42.44,22.31,24.44,1.95
333,cidreira,44,BR,1548903347,88,-30.17,-50.22,77.59,4.07
334,nesterov,68,RU,1548903640,94,54.63,22.57,23.54,9.22
335,radhanpur,8,IN,1548903640,70,23.83,71.61,50.86,2.73
336,lesnoy,92,RU,1548903641,85,59.78,52.13,15.49,6.76
337,alamosa,1,US,1548902100,59,37.47,-105.87,6.62,11.41
338,chegdomyn,48,RU,1548903641,58,51.13,133.04,-3.19,5.97
339,orda,36,RU,1548903642,68,57.2,56.91,-1.08,5.75
340,abashiri,75,JP,1548900000,73,44.01,144.25,23.0,5.82
341,maxixe,80,MZ,1548903642,100,-23.86,35.35,75.65,4.07
342,tarut,0,SA,1548901800,82,26.57,50.06,62.6,4.7
343,havre-saint-pierre,90,CA,1548900000,92,50.23,-63.6,26.6,20.8
344,svetlogorsk,90,RU,1548901800,85,53.14,59.15,12.2,8.95
345,musoma,20,TZ,1548900000,88,-1.5,33.81,68.0,4.97
346,vinh long,0,VN,1548901800,61,10.25,105.97,82.4,12.75
347,saldanha,92,PT,1548903338,98,41.42,-6.55,49.46,13.69
348,pochutla,5,MX,1548899100,65,15.74,-96.47,78.8,1.39
349,bhag,20,PK,1548903645,93,29.04,67.82,52.61,3.06
350,biltine,0,TD,1548903646,46,14.53,20.93,60.04,4.74
351,kruisfontein,100,ZA,1548903286,93,-34.0,24.73,66.02,5.97
352,moerai,92,PF,1548903646,93,-22.43,-151.33,82.13,22.08
353,pilot butte,90,CA,1548901920,69,50.48,-104.42,-7.61,23.04
354,konce,68,MK,1548903647,95,41.5,22.39,30.61,0.72
